,id,hint,sim_score
0,0,I want to get something Taiwanese to eat at Din Tai Fung,1.0000000000000002
1,1,What shit? Now where do we have reservations at? I mean I'm not really hungry but I would like to have reservations somewhere.,0.715824850752457
2,2,Helen while you're downtown you might stop in and make reservations for the bridal suite on the Berengaria sailing next week.,0.7087080387980178
3,3,Yeah I'm hungry too. I know of a place. Let's go eat.,0.695819667113405
4,4,Yesss but I was thinking I could come by and then take Zee out. Some place near. With other folk. Near. Here. But out.,0.6859349547475073
5,5,I don't understand the allure of dehydrated food. Is this something I should be hip to?,0.6824656601141683
6,6,I'll buy ya the best dinner in San Francisco...how'd that be? Then we'll go dancin' okay?,0.6759946049203543
7,7,I want to go back to Vienna.,0.6712328991983698
8,8,Dinner at the River Cafe. Au Bar afterwards maybe.,0.666245481667811
9,9,Take this Joey. It's my last few bucks. You'll need a hot meal when you get there.,0.6657703068188227
10,10,I don't know. For the food business. I guess. I just thought you know we'd sneak a Big Mac on Mommy like we used to.,0.6639775209280476
11,11,You were right. I didn't find anything. I'm going to run and get something to eat. Are you hungry?,0.6639575887674781
12,12,And...Spencer wants to meet you for a drink at Fluties Pier 17.,0.6636504133651391
13,13,We were supposed to have dinner at Tad and Maura's but-you know how Luis is...,0.6611772197139663
14,14,Maybe we could have lunch one day next week? You know I'm downtown near Wall Street quite often.,0.6591904075741529
15,15,Eat this spaghetti Ted. It'll make you feel a lot better.,0.6580914551417094
16,16,I think I may just go on to the reservation.,0.6571719114101349
17,17,Bullshit ... I ain't moving till I get something to eat. You've been treating me like shit ever since I came out here. If you don't like it you can take me back to the penitentiary and kiss my hungry black ass good-bye. And I want some food some place nice.. Some good people nice music...,0.6550045470837937
18,18,Let's relax tonight just the two of us. I'll make a quiet Italian dinner just the way you like it with spaghetti.,0.6546393675972332
19,19,Soooo...Dorsia is where Jean wants to go...,0.6496449977253195
20,20,You can eat balanced meals exercise and take Geritol.,0.6492544758362016
